date,price,cost,comp1_price,comp2_price,comp3_price,volume,gap_comp1,gap_comp2,gap_comp3,price_lag_1,volume_lag_1,volume_ma_7,volume_ma_30
2023-01-30,93.61,85.19,94.24,91.96,93.34,13387,-0.6299999999999955,1.6500000000000057,0.269999999999996,91.16,13910.0,13960.42857142857,13976.266666666666
2023-01-31,98.79,86.22,98.5,97.11,98.66,13949,0.29000000000000625,1.6800000000000068,0.13000000000000966,93.61,13387.0,13796.0,13990.8
2023-02-01,93.46,85.19,93.73,95.29,92.97,14500,-0.27000000000001023,-1.8300000000000125,0.4899999999999949,98.79,13949.0,13717.42857142857,14020.633333333333
2023-02-02,101.08,86.1,100.57,101.99,100.82,14741,0.5100000000000051,-0.9099999999999966,0.2600000000000051,93.46,14500.0,13926.142857142857,13960.666666666666
2023-02-03,96.29,87.8,97.42,97.14,96.85,14584,-1.1299999999999955,-0.8499999999999943,-0.5599999999999881,101.08,14741.0,14084.0,13949.233333333334
2023-02-04,94.93,85.7,95.89,97.59,97.3,13413,-0.9599999999999937,-2.6599999999999966,-2.3699999999999903,96.29,14584.0,14069.142857142857,13951.933333333332
2023-02-05,99.67,86.76,99.19,98.9,100.45,13909,0.480000000000004,0.769999999999996,-0.7800000000000011,94.93,13413.0,14069.0,13960.8
2023-02-06,100.43,85.19,100.52,100.95,98.35,13939,-0.0899999999999892,-0.519999999999996,2.0800000000000125,99.67,13909.0,14147.857142857143,13972.0
2023-02-07,101.65,85.7,101.25,100.76,102.31,14468,0.4000000000000057,0.8900000000000006,-0.6599999999999966,100.43,13939.0,14222.0,13966.333333333334
2023-02-08,97.19,86.53,98.34,98.71,99.21,15045,-1.1500000000000057,-1.519999999999996,-2.019999999999996,101.65,14468.0,14299.857142857143,14005.6
2023-02-09,96.5,84.55,94.73,97.73,97.87,14970,1.769999999999996,-1.230000000000004,-1.3700000000000045,97.19,15045.0,14332.57142857143,14055.566666666668
2023-02-10,95.63,86.3,98.49,96.38,97.33,14323,-2.8599999999999994,-0.75,-1.7000000000000028,96.5,14970.0,14295.285714285714,14024.666666666666
2023-02-11,98.02,85.69,96.57,96.43,97.78,14478,1.4500000000000028,1.5899999999999892,0.23999999999999488,95.63,14323.0,14447.42857142857,14064.166666666666
2023-02-12,93.21,84.84,94.53,93.13,94.58,13004,-1.3200000000000074,0.0799999999999983,-1.3700000000000045,98.02,14478.0,14318.142857142857,14059.166666666666
2023-02-13,94.59,85.65,92.05,93.49,95.24,14052,2.5400000000000063,1.1000000000000085,-0.6499999999999915,93.21,13004.0,14334.285714285714,14096.3
2023-02-14,96.87,85.82,96.71,94.76,96.87,14033,0.1600000000000108,2.1099999999999994,0.0,94.59,14052.0,14272.142857142857,14118.033333333333
2023-02-15,94.48,85.25,93.69,96.13,95.78,14337,0.7900000000000063,-1.6499999999999915,-1.2999999999999972,96.87,14033.0,14171.0,14120.1
2023-02-16,91.79,83.55,93.37,92.38,92.33,14582,-1.5799999999999983,-0.5899999999999892,-0.539999999999992,94.48,14337.0,14115.57142857143,14125.766666666666
2023-02-17,95.64,84.04,95.44,95.78,94.86,13653,0.20000000000000284,-0.14000000000000057,0.7800000000000011,91.79,14582.0,14019.857142857143,14088.433333333332
2023-02-18,95.45,84.61,95.57,95.95,96.85,15440,-0.11999999999999034,-0.5,-1.3999999999999915,95.64,13653.0,14157.285714285714,14118.5
2023-02-19,94.64,84.81,94.58,93.16,95.92,13217,0.060000000000002274,1.480000000000004,-1.2800000000000011,95.45,15440.0,14187.714285714286,14108.833333333334
2023-02-20,97.71,84.9,98.54,98.12,97.63,13290,-0.8300000000000125,-0.4100000000000108,0.0799999999999983,94.64,13217.0,14078.857142857143,14116.866666666667
2023-02-21,90.71,84.66,92.48,90.47,93.44,15220,-1.7700000000000102,0.23999999999999488,-2.730000000000004,97.71,13290.0,14248.42857142857,14173.533333333333
2023-02-22,92.0,83.51,93.71,93.06,94.58,13798,-1.7099999999999937,-1.0600000000000023,-2.5799999999999983,90.71,15220.0,14171.42857142857,14155.6
2023-02-23,93.21,84.56,95.11,91.76,92.21,14211,-1.9000000000000057,1.4499999999999886,1.0,92.0,13798.0,14118.42857142857,14125.966666666667
2023-02-24,90.54,84.86,89.57,93.12,90.29,13759,0.9700000000000131,-2.5799999999999983,0.25,93.21,14211.0,14133.57142857143,14082.933333333332
2023-02-25,95.25,85.06,96.51,95.8,94.75,13827,-1.2600000000000051,-0.5499999999999972,0.5,90.54,13759.0,13903.142857142857,14101.166666666666
2023-02-26,96.12,85.63,95.49,95.5,95.7,13856,0.6300000000000097,0.6200000000000045,0.4200000000000017,95.25,13827.0,13994.42857142857,14113.733333333334
2023-02-27,99.18,85.27,97.4,99.56,97.77,13394,1.7800000000000011,-0.37999999999999545,1.4100000000000108,96.12,13856.0,14009.285714285714,14109.633333333333
2023-02-28,95.71,84.94,94.87,95.35,97.55,14553,0.8399999999999892,0.35999999999999943,-1.8400000000000034,99.18,13394.0,13914.0,14131.066666666668
2023-03-01,92.58,84.64,92.41,93.14,93.02,14300,0.1700000000000017,-0.5600000000000023,-0.4399999999999977,95.71,14553.0,13985.714285714286,14161.5
2023-03-02,98.24,83.75,98.38,97.66,97.5,13449,-0.14000000000000057,0.5799999999999983,0.7399999999999949,92.58,14300.0,13876.857142857143,14144.833333333334
